Edad,País / Procedencia,Idioma,Presupuesto,Días de viaje,Tipo de viaje,Problemas respiratorios,Movilidad reducida,Alergias,Comida,Naturaleza,Historia,Fotografía,Altura máxima tolerada,Recomendación médica,Destino
39,China,Chino,Alto,9,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Aclimatación obligatoria,Machu Picchu
43,Irlanda,Inglés,Medio,6,Naturaleza,No,No,No,No,Sí,Sí,Sí,3800,Evitar alcohol,Machu Picchu
29,Marruecos,Árabe,Económico,7,Aventura,No,No,No,Sí,Sí,No,Sí,4300,Descanso previo,Machu Picchu
58,Chile,Español,Medio,8,Relajación,Sí,No,No,Sí,Sí,Sí,No,3200,Consumir líquidos,Machu Picchu
35,Noruega,Inglés,Alto,11,Fotografía,No,No,No,No,Sí,Sí,Sí,4500,Hidratación constante,Machu Picchu
24,Venezuela,Español,Económico,5,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Usar bloqueador,Machu Picchu
46,Países Bajos,Inglés,Alto,10,Aventura,No,No,No,No,Sí,Sí,Sí,4200,Medicamentos básicos,Machu Picchu
32,Bélgica,Francés,Medio,7,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,3600,Descanso adecuado,Machu Picchu
51,Perú,Español,Medio,6,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3000,Aclimatación y descanso,Machu Picchu
23,Sudáfrica,Inglés,Económico,8,Aventura,No,No,No,No,Sí,No,Sí,4600,Hidratación continua,Machu Picchu
40,Canadá,Inglés,Alto,9,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Preparación física,Machu Picchu
27,Turquía,Turco,Medio,7,Fotografía,No,No,No,Sí,Sí,No,Sí,4800,Consumir agua,Machu Picchu
48,México,Español,Alto,8,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Consulta médica,Machu Picchu
33,India,Inglés,Medio,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Hidratación permanente,Machu Picchu
22,Filipinas,Inglés,Económico,6,Aventura,No,No,No,No,Sí,No,Sí,4300,Ropa térmica,Machu Picchu
57,Suecia,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3000,Descanso moderado,Machu Picchu
30,Costa Rica,Español,Medio,7,Naturaleza,No,No,No,No,Sí,Sí,Sí,3700,Aclimatación previa,Machu Picchu
44,Rusia,Ruso,Alto,12,Aventura,No,No,No,No,Sí,Sí,Sí,4200,Consumir mate de coca,Machu Picchu
25,Paraguay,Español,Económico,4,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Hidratación continua,Machu Picchu
38,Dinamarca,Inglés,Alto,9,Fotografía,No,No,No,Sí,Sí,No,Sí,4500,Descansar correctamente,Machu Picchu
53,Italia,Italiano,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3000,Control de presión,Machu Picchu
21,Uruguay,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,4600,Hidratación y descanso,Machu Picchu
41,Israel,Hebreo,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Preparación física,Machu Picchu
29,Indonesia,Indonesio,Medio,7,Naturaleza,No,No,No,No,Sí,Sí,Sí,4200,Consumir líquidos,Machu Picchu
36,Nueva Zelanda,Inglés,Alto,13,Aventura,No,No,No,No,Sí,No,Sí,4500,Aclimatación previa,Machu Picchu
50,Perú,Español,Medio,6,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Hidratación adecuada,Machu Picchu
29,Noruega,Noruego,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Ropa adecuada,Sacsayhuamán
44,Marruecos,Árabe,Medio,6,Cultural,No,No,Sí,Sí,No,Sí,Sí,3400,Hidratación constante,Sacsayhuamán
26,Tailandia,Tailandés,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,3600,Llevar medicación personal,Sacsayhuamán
51,Finlandia,Inglés,Alto,9,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Descanso moderado,Sacsayhuamán
33,India,Inglés,Medio,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Aclimatación previa,Sacsayhuamán
24,Indonesia,Indonesio,Económico,6,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Consumir agua,Sacsayhuamán
47,Turquía,Turco,Alto,8,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Usar bloqueador solar,Sacsayhuamán
38,Israel,Hebreo,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3500,Hidratación continua,Sacsayhuamán
22,Egipto,Árabe,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,3600,Descansar adecuadamente,Sacsayhuamán
56,Bélgica,Francés,Alto,10,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,3200,Llevar snacks energéticos,Sacsayhuamán
31,China,Chino,Alto,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Aclimatación recomendada,Sacsayhuamán
28,Filipinas,Inglés,Medio,6,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Consumir mate de coca,Sacsayhuamán
42,Rusia,Ruso,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Hidratación permanente,Sacsayhuamán
35,Sudáfrica,Inglés,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Evitar comidas pesadas,Sacsayhuamán
20,Nepal,Nepalí,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,3600,Llevar ropa ligera,Sacsayhuamán
53,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Hidratación frecuente,Sacsayhuamán
27,Malasia,Malayo,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Descanso adecuado,Sacsayhuamán
40,Hungría,Húngaro,Alto,8,Cultural,No,No,Sí,Sí,No,Sí,Sí,3500,Aclimatación previa,Sacsayhuamán
23,Pakistán,Urdu,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Evitar alcohol,Sacsayhuamán
60,Dinamarca,Inglés,Alto,10,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,3200,Hidratación y descanso,Sacsayhuamán
34,Singapur,Inglés,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Consumir mate de coca,Sacsayhuamán
25,Croacia,Croata,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,3600,Control médico,Sacsayhuamán
46,Polonia,Polaco,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Llevar medicamentos,Sacsayhuamán
37,Grecia,Griego,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Usar ropa ligera,Sacsayhuamán
21,Vietnam,Vietnamita,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Hidratación adecuada,Sacsayhuamán
49,República Checa,Checo,Alto,9,Relajación,Sí,No,No,Sí,Sí,Sí,No,3200,Aclimatación obligatoria,Sacsayhuamán
32,Emiratos Árabes,Árabe,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3500,Evitar alcohol,Sacsayhuamán
28,Rumanía,Rumano,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Descanso previo,Sacsayhuamán
55,Islandia,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Consumir líquidos,Sacsayhuamán
24,Kenia,Inglés,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,3600,Hidratación constante,Sacsayhuamán
30,Perú,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Usar bloqueador,Qorikancha
41,Estados Unidos,Inglés,Alto,8,Histórico,No,No,Sí,Sí,No,Sí,Sí,3400,Medicamentos básicos,Qorikancha
22,Argentina,Español,Económico,5,Mochilero,No,No,No,Sí,Sí,No,Sí,3400,Descanso adecuado,Qorikancha
56,Canadá,Inglés,Alto,9,Relajación,Sí,Sí,No,Sí,No,Sí,No,3200,Aclimatación y descanso,Qorikancha
35,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3400,Hidratación continua,Qorikancha
27,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Preparación física,Qorikancha
48,Alemania,Alemán,Alto,10,Relajación,Sí,No,Sí,Sí,No,Sí,No,3200,Consumir agua,Qorikancha
24,Chile,Español,Económico,4,Aventura,No,No,No,Sí,Sí,No,Sí,3500,Consulta médica,Qorikancha
39,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3400,Hidratación permanente,Qorikancha
52,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,3300,Ropa térmica,Qorikancha
29,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,3400,Descanso moderado,Qorikancha
43,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,3200,Aclimatación previa,Qorikancha
21,Bolivia,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,3400,Consumir mate de coca,Qorikancha
37,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3400,Hidratación continua,Qorikancha
58,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,3200,Descansar correctamente,Qorikancha
25,Ecuador,Español,Económico,4,Aventura,No,No,No,Sí,Sí,No,Sí,3500,Control de presión,Qorikancha
34,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Hidratación y descanso,Qorikancha
46,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Preparación física,Qorikancha
23,Paraguay,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,3400,Consumir líquidos,Qorikancha
40,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3400,Aclimatación previa,Qorikancha
31,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Hidratación adecuada,Qorikancha
54,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Ropa adecuada,Qorikancha
26,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3500,Usar protector solar,Qorikancha
45,Bélgica,Francés,Alto,8,Histórico,No,No,No,Sí,No,Sí,Sí,3400,Hidratación constante,Qorikancha
20,Uruguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3400,Aclimatación recomendada,Qorikancha
49,Dinamarca,Inglés,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Hidratación constante,Qorikancha
33,India,Inglés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3400,Descansar antes del trekking,Qorikancha
28,Turquía,Turco,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Llevar medicación personal,Qorikancha
57,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Aclimatación previa,Qorikancha
24,Nueva Zelanda,Inglés,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3500,Consumir mate de coca,Qorikancha
27,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Evitar esfuerzo excesivo,Qenqo
42,Estados Unidos,Inglés,Alto,8,Aventura,No,No,Sí,Sí,Sí,No,Sí,3700,Hidratación continua,Qenqo
23,Argentina,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3600,Descanso moderado,Qenqo
55,Canadá,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,No,Sí,No,3200,Consultar médico,Qenqo
36,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Llevar snacks energéticos,Qenqo
29,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3500,Usar bloqueador solar,Qenqo
48,Alemania,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,No,Sí,No,3200,Hidratación constante,Qenqo
21,Chile,Español,Económico,3,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Aclimatación recomendada,Qenqo
39,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3600,Consumir agua frecuentemente,Qenqo
52,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Llevar ropa térmica,Qenqo
31,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,3400,Hidratación permanente,Qenqo
44,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,3200,Descansar adecuadamente,Qenqo
20,Bolivia,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3600,Aclimatación previa,Qenqo
38,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3600,Evitar comidas pesadas,Qenqo
60,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,3200,Hidratación y descanso,Qenqo
24,Ecuador,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3600,Consumir mate de coca,Qenqo
35,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,3500,Control médico,Qenqo
47,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Llevar medicamentos,Qenqo
22,Paraguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3600,Usar ropa ligera,Qenqo
41,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3600,Hidratación adecuada,Qenqo
32,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Aclimatación obligatoria,Qenqo
56,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Evitar alcohol,Qenqo
25,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3600,Descanso previo,Qenqo
45,Bélgica,Francés,Alto,8,Histórico,No,No,No,Sí,No,Sí,Sí,3400,Consumir líquidos,Qenqo
19,Uruguay,Español,Económico,3,Mochilero,No,No,No,No,Sí,No,Sí,3600,Hidratación constante,Qenqo
50,Dinamarca,Inglés,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Usar bloqueador,Qenqo
34,India,Inglés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Medicamentos básicos,Qenqo
28,Turquía,Turco,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,3500,Descanso adecuado,Qenqo
58,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Aclimatación y descanso,Qenqo
23,Nueva Zelanda,Inglés,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3700,Hidratación continua,Qenqo
28,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,3700,Preparación física,Tambomachay
43,Estados Unidos,Inglés,Alto,9,Aventura,No,No,Sí,Sí,Sí,No,Sí,3800,Consumir agua,Tambomachay
24,Argentina,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3700,Consulta médica,Tambomachay
57,Canadá,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,No,Sí,No,3200,Hidratación permanente,Tambomachay
35,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3700,Ropa térmica,Tambomachay
30,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Descanso moderado,Tambomachay
49,Alemania,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,No,Sí,No,3200,Aclimatación previa,Tambomachay
22,Chile,Español,Económico,3,Aventura,No,No,No,Sí,Sí,No,Sí,3800,Consumir mate de coca,Tambomachay
40,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3700,Hidratación continua,Tambomachay
53,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Descansar correctamente,Tambomachay
32,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,3400,Control de presión,Tambomachay
45,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,3200,Hidratación y descanso,Tambomachay
21,Bolivia,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3700,Preparación física,Tambomachay
39,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3700,Consumir líquidos,Tambomachay
61,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,3200,Aclimatación previa,Tambomachay
25,Ecuador,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3800,Hidratación adecuada,Tambomachay
36,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Ropa adecuada,Tambomachay
48,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Hidratación constante,Tambomachay
23,Paraguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3700,Descansar adecuadamente,Tambomachay
42,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3700,Llevar medicamentos,Tambomachay
33,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3600,Aclimatación previa,Tambomachay
55,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Consumir agua,Tambomachay
26,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3800,Usar bloqueador solar,Tambomachay
46,Bélgica,Francés,Alto,8,Histórico,No,No,No,Sí,No,Sí,Sí,3400,Hidratación frecuente,Tambomachay
20,Uruguay,Español,Económico,3,Mochilero,No,No,No,No,Sí,No,Sí,3700,Descanso moderado,Tambomachay
51,Dinamarca,Inglés,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Consultar médico,Tambomachay
34,India,Inglés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3700,Llevar snacks,Tambomachay
29,Turquía,Turco,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,3600,Usar sombrero,Tambomachay
59,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Hidratación constante,Tambomachay
24,Nueva Zelanda,Inglés,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3800,Aclimatación recomendada,Tambomachay
29,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,3800,Consumir líquidos,Puca Pucara
44,Estados Unidos,Inglés,Alto,9,Aventura,No,No,Sí,Sí,Sí,No,Sí,3900,Ropa cómoda,Puca Pucara
25,Argentina,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3800,Hidratación permanente,Puca Pucara
58,Canadá,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,No,Sí,No,3200,Descanso adecuado,Puca Pucara
36,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3800,Aclimatación previa,Puca Pucara
31,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Evitar comidas pesadas,Puca Pucara
50,Alemania,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,No,Sí,No,3200,Hidratación y descanso,Puca Pucara
23,Chile,Español,Económico,3,Aventura,No,No,No,Sí,Sí,No,Sí,3900,Consumir mate de coca,Puca Pucara
41,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3800,Control médico,Puca Pucara
54,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Llevar medicamentos,Puca Pucara
33,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,3400,Usar ropa ligera,Puca Pucara
46,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,3200,Hidratación adecuada,Puca Pucara
22,Bolivia,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3800,Aclimatación obligatoria,Puca Pucara
40,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3800,Evitar alcohol,Puca Pucara
62,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,3200,Descanso previo,Puca Pucara
26,Ecuador,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3900,Consumir líquidos,Puca Pucara
37,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Hidratación constante,Puca Pucara
49,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Usar bloqueador,Puca Pucara
24,Paraguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3800,Aclimatación previa,Puca Pucara
43,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3800,Hidratación constante,Puca Pucara
34,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,3600,Llevar medicamentos,Puca Pucara
56,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Preparación física,Puca Pucara
27,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3900,Consumir agua,Puca Pucara
47,Bélgica,Francés,Alto,8,Histórico,No,No,No,Sí,No,Sí,Sí,3400,Aclimatación obligatoria,Puca Pucara
21,Uruguay,Español,Económico,3,Mochilero,No,No,No,No,Sí,No,Sí,3800,Hidratación frecuente,Puca Pucara
52,Dinamarca,Inglés,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,3200,Descansar correctamente,Puca Pucara
35,India,Inglés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3800,Consultar médico,Puca Pucara
30,Turquía,Turco,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,3600,Llevar snacks energéticos,Puca Pucara
60,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3200,Usar bloqueador solar,Puca Pucara
25,Nueva Zelanda,Inglés,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,3900,Hidratación adecuada,Puca Pucara
31,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Aclimatación previa,Ollantaytambo
45,Estados Unidos,Inglés,Alto,8,Aventura,No,No,Sí,Sí,Sí,No,Sí,4200,Consumir líquidos,Ollantaytambo
24,Argentina,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3500,Ropa cómoda,Ollantaytambo
57,Canadá,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,No,Sí,No,3200,Hidratación permanente,Ollantaytambo
36,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,3600,Descansar adecuadamente,Ollantaytambo
30,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3500,Aclimatación recomendada,Ollantaytambo
49,Alemania,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,No,Sí,No,3200,Evitar comidas pesadas,Ollantaytambo
22,Chile,Español,Económico,3,Aventura,No,No,No,Sí,Sí,No,Sí,4200,Hidratación y descanso,Ollantaytambo
41,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,3600,Consumir mate de coca,Ollantaytambo
54,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Control médico,Ollantaytambo
33,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,3400,Llevar medicamentos,Ollantaytambo
46,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,3200,Usar ropa ligera,Ollantaytambo
21,Bolivia,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,3500,Hidratación adecuada,Ollantaytambo
