Edad,País / Procedencia,Idioma,Presupuesto,Días de viaje,Tipo de viaje,Problemas respiratorios,Movilidad reducida,Alergias,Comida,Naturaleza,Historia,Fotografía,Destino recomendado,Destino alternativo,Nivel de dificultad,Requiere caminata,Altura máxima tolerada,Recomendación médica,Tipo de transporte,Tour recomendado,Riesgo por altura,Apto para adulto mayor,Apto para niños
31,Ecuador,Español,Medio,5,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Museo Inka,Bajo,No,3400,Evitar comidas pesadas,Bus,Histórico,Bajo,Sí,Sí
22,Bolivia,Español,Económico,6,Aventura,No,No,No,No,Sí,No,Sí,Machu Picchu,Camino Inca,Extremo,Sí,4200,Hidratación y descanso,Caminata,Trekking,Alto,No,No
49,Francia,Francés,Alto,9,Relajación,Sí,No,No,Sí,Sí,Sí,No,Machu Picchu,Urubamba,Bajo,No,3200,Consumir mate de coca,Tren,Relax,Bajo,Sí,Sí
26,Corea del Sur,Coreano,Alto,8,Fotografía,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Montaña de 7 Colores,Alto,Sí,5000,Control médico,Bus,Fotográfico,Alto,No,No
37,Perú,Español,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Sacsayhuamán,Medio,Sí,3600,Llevar medicamentos,Bus,City Tour,Medio,Sí,Sí
54,Austria,Alemán,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Usar ropa ligera,Tren,Relax,Bajo,Sí,Sí
20,Argentina,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Machu Picchu,Choquequirao,Extremo,Sí,4500,Hidratación adecuada,Caminata,Trekking,Alto,No,No
39,China,Chino,Alto,9,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Qenqo,Medio,Sí,3500,Aclimatación obligatoria,Bus,Cultural,Medio,Sí,Sí
43,Irlanda,Inglés,Medio,6,Naturaleza,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Laguna Huaypo,Medio,Sí,3800,Evitar alcohol,Bus,Ecológico,Medio,Sí,Sí
29,Marruecos,Árabe,Económico,7,Aventura,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Salkantay Trek,Alto,Sí,4300,Descanso previo,Caminata,Trekking,Alto,No,No
58,Chile,Español,Medio,8,Relajación,Sí,No,No,Sí,Sí,Sí,No,Machu Picchu,Urubamba,Bajo,No,3200,Consumir líquidos,Tren,Relax,Bajo,Sí,Sí
35,Noruega,Inglés,Alto,11,Fotografía,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Abra Málaga,Alto,Sí,4500,Hidratación constante,Bus,Fotográfico,Alto,No,No
24,Venezuela,Español,Económico,5,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Centro Histórico de Cusco,Bajo,No,3400,Usar bloqueador,Bus,Histórico,Bajo,Sí,Sí
46,Países Bajos,Inglés,Alto,10,Aventura,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Camino Inca,Extremo,Sí,4200,Medicamentos básicos,Caminata,Trekking,Alto,No,No
32,Bélgica,Francés,Medio,7,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Machu Picchu,Maras,Medio,Sí,3600,Descanso adecuado,Bus,Cultural,Medio,Sí,Sí
51,Perú,Español,Medio,6,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Aclimatación y descanso,Tren,Relax,Bajo,Sí,Sí
23,Sudáfrica,Inglés,Económico,8,Aventura,No,No,No,No,Sí,No,Sí,Machu Picchu,Choquequirao,Extremo,Sí,4600,Hidratación continua,Caminata,Aventura,Alto,No,No
40,Canadá,Inglés,Alto,9,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Pikillacta,Medio,Sí,3500,Preparación física,Bus,Cultural,Medio,Sí,Sí
27,Turquía,Turco,Medio,7,Fotografía,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Valle Rojo,Alto,Sí,4800,Consumir agua,Bus,Fotográfico,Alto,No,No
48,México,Español,Alto,8,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,Machu Picchu,Urubamba,Bajo,No,3200,Consulta médica,Tren,Relax,Bajo,Sí,Sí
33,India,Inglés,Medio,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Qorikancha,Medio,Sí,3400,Hidratación permanente,Bus,Histórico,Medio,Sí,Sí
22,Filipinas,Inglés,Económico,6,Aventura,No,No,No,No,Sí,No,Sí,Machu Picchu,Salkantay Trek,Alto,Sí,4300,Ropa térmica,Caminata,Trekking,Alto,No,No
57,Suecia,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Descanso moderado,Tren,Relax,Bajo,Sí,Sí
30,Costa Rica,Español,Medio,7,Naturaleza,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Laguna Piuray,Medio,Sí,3700,Aclimatación previa,Bus,Ecológico,Medio,Sí,Sí
44,Rusia,Ruso,Alto,12,Aventura,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Camino Inca,Extremo,Sí,4200,Consumir mate de coca,Caminata,Aventura,Alto,No,No
25,Paraguay,Español,Económico,4,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Museo Inka,Bajo,No,3400,Hidratación continua,Bus,Histórico,Bajo,Sí,Sí
38,Dinamarca,Inglés,Alto,9,Fotografía,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Abra Málaga,Alto,Sí,4500,Descansar correctamente,Bus,Fotográfico,Alto,No,No
53,Italia,Italiano,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Control de presión,Tren,Relax,Bajo,Sí,Sí
21,Uruguay,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Machu Picchu,Choquequirao,Extremo,Sí,4600,Hidratación y descanso,Caminata,Trekking,Alto,No,No
41,Israel,Hebreo,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Sacsayhuamán,Medio,Sí,3600,Preparación física,Bus,Cultural,Medio,Sí,Sí
29,Indonesia,Indonesio,Medio,7,Naturaleza,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Laguna Humantay,Alto,Sí,4200,Consumir líquidos,Bus,Ecológico,Alto,No,Sí
36,Nueva Zelanda,Inglés,Alto,13,Aventura,No,No,No,No,Sí,No,Sí,Machu Picchu,Salkantay Trek,Extremo,Sí,4500,Aclimatación previa,Caminata,Trekking,Alto,No,No
50,Perú,Español,Medio,6,Cultural,Sí,No,No,Sí,No,Sí,Sí,Machu Picchu,Qorikancha,Bajo,No,3400,Hidratación adecuada,Bus,Histórico,Bajo,Sí,Sí
29,Noruega,Noruego,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Qorikancha,Medio,Sí,3600,Ropa adecuada,Bus,Histórico,Medio,Sí,Sí
44,Marruecos,Árabe,Medio,6,Cultural,No,No,Sí,Sí,No,Sí,Sí,Sacsayhuamán,Catedral del Cusco,Bajo,Sí,3400,Hidratación constante,Bus,City Tour,Bajo,Sí,Sí
26,Tailandia,Tailandés,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Sacsayhuamán,Barrio de San Blas,Medio,Sí,3600,Llevar medicación personal,Caminata,Cultural,Medio,No,No
51,Finlandia,Inglés,Alto,9,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Descanso moderado,Bus,Relax,Bajo,Sí,Sí
33,India,Inglés,Medio,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Piedra de los 12 Ángulos,Medio,Sí,3600,Aclimatación previa,Caminata,Fotográfico,Medio,Sí,Sí
24,Indonesia,Indonesio,Económico,6,Aventura,No,No,No,Sí,Sí,No,Sí,Sacsayhuamán,Qenqo,Medio,Sí,3700,Consumir agua,Caminata,Trekking,Medio,No,Sí
47,Turquía,Turco,Alto,8,Cultural,No,No,No,Sí,No,Sí,Sí,Sacsayhuamán,Museo Inka,Medio,Sí,3500,Usar bloqueador solar,Bus,Histórico,Medio,Sí,Sí
38,Israel,Hebreo,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Sacsayhuamán,Centro Histórico de Cusco,Medio,Sí,3500,Hidratación continua,Bus,Fotográfico,Medio,Sí,Sí
22,Egipto,Árabe,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Sacsayhuamán,Mercado de San Pedro,Medio,Sí,3600,Descansar adecuadamente,Caminata,Cultural,Medio,No,No
56,Bélgica,Francés,Alto,10,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Llevar snacks energéticos,Bus,Relax,Bajo,Sí,Sí
31,China,Chino,Alto,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Qorikancha,Medio,Sí,3600,Aclimatación recomendada,Bus,Histórico,Medio,Sí,Sí
28,Filipinas,Inglés,Medio,6,Aventura,No,No,No,Sí,Sí,No,Sí,Sacsayhuamán,Qenqo,Medio,Sí,3700,Consumir mate de coca,Caminata,Aventura,Medio,No,Sí
42,Rusia,Ruso,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Piedra de los 12 Ángulos,Medio,Sí,3600,Hidratación permanente,Bus,Fotográfico,Medio,Sí,Sí
35,Sudáfrica,Inglés,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,Sacsayhuamán,Catedral del Cusco,Bajo,Sí,3400,Evitar comidas pesadas,Bus,Cultural,Bajo,Sí,Sí
20,Nepal,Nepalí,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,Sacsayhuamán,Barrio de San Blas,Medio,Sí,3600,Llevar ropa ligera,Caminata,Trekking,Medio,No,No
53,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Hidratación frecuente,Bus,Relax,Bajo,Sí,Sí
27,Malasia,Malayo,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Mercado de San Pedro,Medio,Sí,3600,Descanso adecuado,Bus,Fotográfico,Medio,Sí,Sí
40,Hungría,Húngaro,Alto,8,Cultural,No,No,Sí,Sí,No,Sí,Sí,Sacsayhuamán,Museo Inka,Medio,Sí,3500,Aclimatación previa,Bus,Histórico,Medio,Sí,Sí
23,Pakistán,Urdu,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Sacsayhuamán,Qenqo,Medio,Sí,3700,Evitar alcohol,Caminata,Aventura,Medio,No,Sí
60,Dinamarca,Inglés,Alto,10,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Hidratación y descanso,Bus,Relax,Bajo,Sí,Sí
34,Singapur,Inglés,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Qorikancha,Medio,Sí,3600,Consumir mate de coca,Bus,Histórico,Medio,Sí,Sí
25,Croacia,Croata,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,Sacsayhuamán,Barrio de San Blas,Medio,Sí,3600,Control médico,Caminata,Cultural,Medio,No,No
46,Polonia,Polaco,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Sacsayhuamán,Piedra de los 12 Ángulos,Medio,Sí,3600,Llevar medicamentos,Bus,Fotográfico,Medio,Sí,Sí
37,Grecia,Griego,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,Sacsayhuamán,Catedral del Cusco,Bajo,Sí,3400,Usar ropa ligera,Bus,Histórico,Bajo,Sí,Sí
21,Vietnam,Vietnamita,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Sacsayhuamán,Qenqo,Medio,Sí,3700,Hidratación adecuada,Caminata,Trekking,Medio,No,Sí
49,República Checa,Checo,Alto,9,Relajación,Sí,No,No,Sí,Sí,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Aclimatación obligatoria,Bus,Relax,Bajo,Sí,Sí
32,Emiratos Árabes,Árabe,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Sacsayhuamán,Centro Histórico de Cusco,Medio,Sí,3500,Evitar alcohol,Bus,Fotográfico,Medio,Sí,Sí
28,Rumanía,Rumano,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,Sacsayhuamán,Museo Inka,Medio,Sí,3500,Descanso previo,Bus,Cultural,Medio,Sí,Sí
55,Islandia,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Sacsayhuamán,Yucay,Bajo,No,3200,Consumir líquidos,Bus,Relax,Bajo,Sí,Sí
24,Kenia,Inglés,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Sacsayhuamán,Mercado de San Pedro,Medio,Sí,3600,Hidratación constante,Caminata,Cultural,Medio,No,No
30,Perú,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qorikancha,Catedral del Cusco,Bajo,Sí,3400,Usar bloqueador,Bus,City Tour,Bajo,Sí,Sí
41,Estados Unidos,Inglés,Alto,8,Histórico,No,No,Sí,Sí,No,Sí,Sí,Qorikancha,Museo Inka,Bajo,Sí,3400,Medicamentos básicos,Bus,Histórico,Bajo,Sí,Sí
22,Argentina,Español,Económico,5,Mochilero,No,No,No,Sí,Sí,No,Sí,Qorikancha,Barrio de San Blas,Bajo,Sí,3400,Descanso adecuado,Caminata,Cultural,Bajo,No,Sí
56,Canadá,Inglés,Alto,9,Relajación,Sí,Sí,No,Sí,No,Sí,No,Qorikancha,Yucay,Bajo,No,3200,Aclimatación y descanso,Bus,Relax,Bajo,Sí,Sí
35,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Qorikancha,Piedra de los 12 Ángulos,Bajo,Sí,3400,Hidratación continua,Caminata,Fotográfico,Bajo,Sí,Sí
27,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qorikancha,Centro Histórico de Cusco,Bajo,Sí,3400,Preparación física,Bus,Histórico,Bajo,Sí,Sí
48,Alemania,Alemán,Alto,10,Relajación,Sí,No,Sí,Sí,No,Sí,No,Qorikancha,Catedral del Cusco,Bajo,No,3200,Consumir agua,Bus,Relax,Bajo,Sí,Sí
24,Chile,Español,Económico,4,Aventura,No,No,No,Sí,Sí,No,Sí,Qorikancha,Sacsayhuamán,Medio,Sí,3500,Consulta médica,Caminata,Cultural,Medio,No,Sí
39,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qorikancha,Museo Inka,Bajo,Sí,3400,Hidratación permanente,Bus,Fotográfico,Bajo,Sí,Sí
52,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,Qorikancha,Catedral del Cusco,Bajo,Sí,3300,Ropa térmica,Bus,Histórico,Bajo,Sí,Sí
29,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,Qorikancha,Mercado de San Pedro,Bajo,Sí,3400,Descanso moderado,Bus,Gastronómico,Bajo,Sí,Sí
43,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,Qorikancha,Yucay,Bajo,No,3200,Aclimatación previa,Bus,Relax,Bajo,Sí,Sí
21,Bolivia,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Qorikancha,Barrio de San Blas,Bajo,Sí,3400,Consumir mate de coca,Caminata,Cultural,Bajo,No,No
37,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qorikancha,Piedra de los 12 Ángulos,Bajo,Sí,3400,Hidratación continua,Bus,Fotográfico,Bajo,Sí,Sí
58,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,Qorikancha,Centro Histórico de Cusco,Bajo,No,3200,Descansar correctamente,Bus,Histórico,Bajo,Sí,Sí
25,Ecuador,Español,Económico,4,Aventura,No,No,No,Sí,Sí,No,Sí,Qorikancha,Sacsayhuamán,Medio,Sí,3500,Control de presión,Caminata,Cultural,Medio,No,Sí
34,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qorikancha,Museo Inka,Bajo,Sí,3400,Hidratación y descanso,Bus,Histórico,Bajo,Sí,Sí
46,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,Qorikancha,Yucay,Bajo,No,3200,Preparación física,Bus,Relax,Bajo,Sí,Sí
23,Paraguay,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,Qorikancha,Mercado de San Pedro,Bajo,Sí,3400,Consumir líquidos,Caminata,Cultural,Bajo,No,No
40,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qorikancha,Catedral del Cusco,Bajo,Sí,3400,Aclimatación previa,Bus,Fotográfico,Bajo,Sí,Sí
31,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,Qorikancha,Centro Histórico de Cusco,Bajo,Sí,3400,Hidratación adecuada,Bus,Histórico,Bajo,Sí,Sí
54,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Qorikancha,Yucay,Bajo,No,3200,Ropa adecuada,Bus,Relax,Bajo,Sí,Sí
26,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Qorikancha,Sacsayhuamán,Medio,Sí,3500,Usar protector solar,Caminata,Cultural,Medio,No,Sí
45,Bélgica,Francés,Alto,8,Histórico,No,No,No,Sí,No,Sí,Sí,Qorikancha,Museo Inka,Bajo,Sí,3400,Hidratación constante,Bus,Histórico,Bajo,Sí,Sí
20,Uruguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,Qorikancha,Barrio de San Blas,Bajo,Sí,3400,Aclimatación recomendada,Caminata,Cultural,Bajo,No,No
49,Dinamarca,Inglés,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,Qorikancha,Yucay,Bajo,No,3200,Hidratación constante,Bus,Relax,Bajo,Sí,Sí
33,India,Inglés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Qorikancha,Piedra de los 12 Ángulos,Bajo,Sí,3400,Descansar antes del trekking,Caminata,Fotográfico,Bajo,Sí,Sí
28,Turquía,Turco,Medio,6,Cultural,No,No,No,Sí,No,Sí,Sí,Qorikancha,Catedral del Cusco,Bajo,Sí,3400,Llevar medicación personal,Bus,Histórico,Bajo,Sí,Sí
57,Irlanda,Inglés,Alto,11,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Qorikancha,Centro Histórico de Cusco,Bajo,No,3200,Aclimatación previa,Bus,Relax,Bajo,Sí,Sí
24,Nueva Zelanda,Inglés,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Qorikancha,Sacsayhuamán,Medio,Sí,3500,Consumir mate de coca,Caminata,Cultural,Medio,No,Sí
27,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qenqo,Sacsayhuamán,Medio,Sí,3600,Evitar esfuerzo excesivo,Caminata,Arqueológico,Medio,Sí,Sí
42,Estados Unidos,Inglés,Alto,8,Aventura,No,No,Sí,Sí,Sí,No,Sí,Qenqo,Tambomachay,Medio,Sí,3700,Hidratación continua,Bus,City Tour,Medio,Sí,Sí
23,Argentina,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,Qenqo,Puca Pucara,Medio,Sí,3600,Descanso moderado,Caminata,Cultural,Medio,No,No
55,Canadá,Inglés,Alto,10,Relajación,Sí,Sí,No,Sí,No,Sí,No,Qenqo,Yucay,Bajo,No,3200,Consultar médico,Bus,Relax,Bajo,Sí,Sí
36,Francia,Francés,Medio,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Qenqo,Sacsayhuamán,Medio,Sí,3600,Llevar snacks energéticos,Caminata,Fotográfico,Medio,Sí,Sí
29,Brasil,Portugués,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qenqo,Qorikancha,Medio,Sí,3500,Usar bloqueador solar,Bus,Histórico,Medio,Sí,Sí
48,Alemania,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,No,Sí,No,Qenqo,Centro Histórico de Cusco,Bajo,No,3200,Hidratación constante,Bus,Relax,Bajo,Sí,Sí
21,Chile,Español,Económico,3,Aventura,No,No,No,Sí,Sí,No,Sí,Qenqo,Tambomachay,Medio,Sí,3700,Aclimatación recomendada,Caminata,Trekking,Medio,No,Sí
39,Japón,Japonés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qenqo,Piedra de los 12 Ángulos,Medio,Sí,3600,Consumir agua frecuentemente,Bus,Fotográfico,Medio,Sí,Sí
52,Italia,Italiano,Medio,9,Cultural,Sí,No,No,Sí,No,Sí,Sí,Qenqo,Museo Inka,Bajo,Sí,3400,Llevar ropa térmica,Bus,Histórico,Bajo,Sí,Sí
31,México,Español,Medio,6,Gastronómico,No,No,No,Sí,No,Sí,Sí,Qenqo,Mercado de San Pedro,Bajo,Sí,3400,Hidratación permanente,Bus,Gastronómico,Bajo,Sí,Sí
44,Australia,Inglés,Alto,11,Relajación,No,Sí,No,Sí,Sí,Sí,No,Qenqo,Yucay,Bajo,No,3200,Descansar adecuadamente,Bus,Relax,Bajo,Sí,Sí
20,Bolivia,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,Qenqo,Barrio de San Blas,Medio,Sí,3600,Aclimatación previa,Caminata,Cultural,Medio,No,No
38,Corea del Sur,Coreano,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qenqo,Sacsayhuamán,Medio,Sí,3600,Evitar comidas pesadas,Bus,Fotográfico,Medio,Sí,Sí
60,Reino Unido,Inglés,Alto,10,Cultural,Sí,Sí,No,Sí,No,Sí,No,Qenqo,Qorikancha,Bajo,No,3200,Hidratación y descanso,Bus,Histórico,Bajo,Sí,Sí
24,Ecuador,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Qenqo,Puca Pucara,Medio,Sí,3600,Consumir mate de coca,Caminata,Aventura,Medio,No,Sí
35,Suecia,Inglés,Medio,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,Qenqo,Museo Inka,Medio,Sí,3500,Control médico,Bus,City Tour,Medio,Sí,Sí
47,Suiza,Alemán,Alto,9,Relajación,Sí,No,Sí,Sí,Sí,Sí,No,Qenqo,Centro Histórico de Cusco,Bajo,No,3200,Llevar medicamentos,Bus,Relax,Bajo,Sí,Sí
22,Paraguay,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,Qenqo,Tambomachay,Medio,Sí,3600,Usar ropa ligera,Caminata,Trekking,Medio,No,No
41,China,Chino,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Qenqo,Piedra de los 12 Ángulos,Medio,Sí,3600,Hidratación adecuada,Bus,Fotográfico,Medio,Sí,Sí
32,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,No,Sí,Sí,Qenqo,Sacsayhuamán,Medio,Sí,3500,Aclimatación obligatoria,Bus,Histórico,Medio,Sí,Sí
56,Noruega,Noruego,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Qenqo,Yucay,Bajo,No,3200,Evitar alcohol,Bus,Relax,Bajo,Sí,Sí
25,Colombia,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Qenqo,Puca Pucara,Medio,Sí,3600,Descanso previo,Caminata,Cultural,Medio,No,Sí
